,id,address,categories,city,postalCode,latitude,longitude,menus.amountMax,menus.amountMin,menus.name,menus.description,menus.dateSeen,province
3644,AVweHdjTIN2L1WUf2IDS,3122 N Campbell Ave,"Pizza,Restaurants,Pizza Place",Tucson,85719,32.26363,-110.94318999999999,11.99,11.99,Philly Steak Pizza,"Special cheese sauce, marinated steak, green peppers, onions, mushrooms, smothered in provolone cheese.","2016-03-31T02:31:33Z,2015-10-23T02:22:20Z",AZ
3645,AVweHdjTIN2L1WUf2IDS,3122 N Campbell Ave,"Pizza,Restaurants,Pizza Place",Tucson,85719,32.26363,-110.94318999999999,8.99,8.99,Pizza Sub Deluxe,"Mozzarella cheese, pizza sauce and your choice of 3 toppings.","2016-03-31T02:31:33Z,2015-10-23T02:22:20Z",AZ
3646,AVwdP-jDByjofQCxnHE6,905 Church St,"Pizza Place,Restaurants,Italian Restaurants,Pizza,Restaurant",Nashville,37203,36.160959999999996,-86.78461999999999,20.99,20.99,B.B.Q. Chicken Pizza,"All white grilled chicken, onion topped over barbeque sauce","2016-11-30T19:27:34Z,2016-03-31T02:38:15Z",TN
3647,AVwdP-jDByjofQCxnHE6,905 Church St,"Pizza Place,Restaurants,Italian Restaurants,Pizza,Restaurant",Nashville,37203,36.160959999999996,-86.78461999999999,20.99,20.99,Chicken Ranch Pizza,"Grilled chicken, green peppers, onion, tomato topped over ranch style sauce","2016-11-30T19:27:34Z,2016-03-31T02:38:15Z",TN
3648,AVwc3EXokufWRAb5zyFG,11534 Clifton Blvd,Pizza Place,Cleveland,44102,41.48745138,-81.76733208,21.0,13.0,Blt Pizza,"Bacon, lettuce, tomato, mayo, cheese",2016-06-20T15:25:00Z,OH
3649,AVwc3EXokufWRAb5zyFG,11534 Clifton Blvd,Pizza Place,Cleveland,44102,41.48745138,-81.76733208,21.0,13.0,Hawaiian Pizza,"Ham, pineapple, bacon, cheese",2016-06-20T15:25:00Z,OH
3650,AVwc3EXokufWRAb5zyFG,11534 Clifton Blvd,Pizza Place,Cleveland,44102,41.48745138,-81.76733208,19.0,12.0,Southwestern Pizza,"Chicken, salsa cheddar, provolone, black olives, jalapenos, sour cream",2016-06-20T15:25:00Z,OH
3651,AVwce9huByjofQCxevK1,1187 Coast Village Rd,"Restaurant,Pizza Place,Italian Restaurant,Pizza Place and Italian Restaurant",Santa Barbara,93108-2737,34.42067,-119.64497,20.95,8.45,Greek Pizza,"Red onions, olives, bell peppers, tomatoes and feta cheese",2016-03-31T02:32:34Z,CA
3652,AVwcznSFByjofQCxiY-b,17020 Condit Rd,"Pizza Place,Restaurant",Morgan Hill,95037,37.13361,-121.63038999999999,7.99,7.99,Pizza Di California,"Chicken breast, crispy bacon, red onions, fresh basil, fresh tomatoes (creamy garlic sauce) .",2016-05-16T22:54:00.000Z,CA
3653,AVwcznSFByjofQCxiY-b,17020 Condit Rd,"Pizza Place,Restaurant",Morgan Hill,95037,37.13361,-121.63038999999999,7.99,7.99,Pizza Margherita,"Fresh mozzarella, roma tomatoes, fresh basil, extra virgin olive oil (red marinara sauce) .",2016-05-16T22:54:00.000Z,CA
